Name,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,City School
California State University-Long Beach,Public,Far West,Large City,0.3082,30440,18085,21,1012,0.214,0.0399,0.3672,0.2292,0.0056,0.0042,0.0431,0.0531,0.1565,18085,7422,8671,0.5029,0.4733,0.6033,0.8876,0.1708,14494,15775,11000,0.720000029,0.709999979,22.19000053,45976.99,30725,11.93999958,680,5955,45300,42400,1
Buffalo State SUNY,Public,Mid-Atlantic,Large City,0.4853,9190,18088,0,975,0.6294,0.2055,0.093,0.0217,0.0037,0.0013,0.0297,0.0133,0.0999,18088,9298,7444,0.4941,0.4594,0.4892,0.7532,0.1765,15895.5,21665.5,10750,0.899999976,0.610000014,22.25,57184.5,45557,10.48999977,335,3388,36300,34300,1
University of North Carolina Wilmington,Public,Southeast,Mid-size City,0.5419,12178,18165,24,1154,0.8043,0.048,0.0622,0.0195,0.0048,0.0017,0.0282,0.0069,0.0694,18165,7865,7872,0.7085,0.2825,0.7099,0.864,0.1328,16500,20624,9761.5,0.949999988,0.469999999,21.12999916,75837.12,63608.5,7.730000019,269,2651,39100,35700,1
Boise State University,Public,Rocky Mountains,Mid-size City,0.7766,16557,18227,23,1050,0.7621,0.0157,0.0912,0.0228,0.0069,0.0042,0.03,0.0368,0.2494,18227,6777,6905,0.5643,0.3715,0.3801,0.7129,0.3182,16309,24898,11582,0.889999986,0.680000007,24.61000061,45640.12,33780.5,7.199999809,794,4723,37100,33000,1
North Dakota State University-Main Campus,Public,Great Plains,Mid-size City,0.841,11629,18277,24,1091,0.8758,0.0244,0.0141,0.0132,0.0068,0.0004,0.0177,0.036,0.0832,18277,7707,8163,0.9872,0.2251,0.5308,0.7805,0.0888,17000,25050,8250,0.980000019,0.430000007,20.52000046,76035.12,71695,6.590000153,182,3463,47900,41400,1
University of Hawaii at Manoa,Public,Far West,Large City,0.8009,14097,18491,24,1087,0.1834,0.0123,0.0874,0.4042,0.0021,0.0389,0.2463,0.0238,0.1614,18491,17768,10360,0.7777,0.3086,0.5651,0.7787,0.1755,13750,19509,8250,0.850000024,0.560000002,22.32999992,54876.85,39485,7.199999809,400,2956,43100,38500,1
University of North Texas,Public,Southwest,Mid-size City,0.5969,31243,18593,24,1100,0.5114,0.1423,0.206,0.0535,0.0052,0.0012,0.0313,0.0392,0.2278,18593,7571,9746,1,0.3645,0.4993,0.7503,0.2361,14955,20750,9835.5,0.939999998,0.529999971,22.26000023,64825.21,49512,7.210000038,695,6921,41200,39400,1
University of Colorado Denver,Public,Rocky Mountains,Large City,0.7587,10470,18822,23,1073,0.5199,0.0496,0.1547,0.0963,0.0048,0.0014,0.0337,0.0981,0.2589,18822,25568,9364,0.6723,0.2777,0.4129,0.7521,0.2507,16750,22995,11368,0.899999976,0.49000001,24.68000031,51853.53,36176,5.599999905,332,2205,60300,50100,1
Indiana University-Purdue University-Fort Wayne,Public,Great Lakes,Large City,0.8309,9795,18837,22,996,0.8205,0.0542,0.0513,0.0218,0.0032,0.0003,0.0264,0.0165,0.25,18837,6082,7355,0.9353,0.3675,0.2594,0.6719,0.2112,15517,26000,10791,0.899999976,0.600000024,23.39999962,55513.79,45905.5,5.690000057,414,3099,34800,32000,1
Austin Peay State University,Public,Southeast,Mid-size City,0.8595,9271,18852,22,1009,0.6597,0.1913,0.0554,0.0146,0.004,0.0023,0.0455,0.0038,0.2606,18852,6847,6879,1,0.5384,0.3603,0.6618,0.3501,15000,25000,12101,0.879999995,0.699999988,24.46999931,41615.23,30942,8.930000305,375,2092,34000,31700,1
University of Houston-Downtown,Public,Southwest,Large City,0.9509,13297,18879,19,894,0.18,0.2529,0.3947,0.0919,0.0044,0.0032,0.0092,0.052,0.483,18879,4306,7279,0.5322,0.4744,0.1408,0.6309,0.485,13000,21000,11461,0.720000029,0.790000021,24.62000084,32529.26,24928.5,13.43000031,372,2888,41300,38500,1
The University of Texas at San Antonio,Public,Southwest,Large City,0.7327,23840,18936,23,1050,0.2772,0.0934,0.487,0.0532,0.0016,0.0018,0.0273,0.0477,0.1657,18936,6338,9272,0.7178,0.4379,0.3,0.6437,0.1915,16490,23723,10749,0.920000017,0.670000017,22.20000076,53600.77,38470,10.67000008,717,6912,42200,39700,1
University of Utah,Public,Rocky Mountains,Mid-size City,0.8174,23273,19048,24,1109,0.7156,0.0122,0.0938,0.0505,0.0054,0.0059,0.0319,0.0664,0.268,19048,12835,7764,0.9448,0.3225,0.6037,0.8791,0.3208,12839,15400,10821,0.829999983,0.670000017,23.54000092,47548.1,32294,6.059999943,830,5127,51600,44300,1
Missouri State University-Springfield,Public,Great Plains,Mid-size City,0.851,15746,19117,24,1090,0.8171,0.0446,0.0313,0.0134,0.0051,0.0017,0.03,0.0411,0.1308,19117,6697,7135,0.6633,0.3198,0.5337,0.7525,0.1412,15000,22375,10250,0.939999998,0.50999999,21.57999992,69002.88,57869.5,7.639999866,449,4364,37300,34100,1
The University of Tennessee-Chattanooga,Public,Southeast,Mid-size City,0.7757,10184,19192,23,1069,0.7411,0.1137,0.0321,0.017,0.0024,0.001,0.0777,0.0067,0.112,19192,7034,7477,0.6318,0.3527,0.3714,0.6912,0.129,11420.5,20500,7112.5,0.860000014,0.600000024,21.47999954,56874.59,43600,9.479999542,179,1865,36100,33300,1
University of South Florida-Main Campus,Public,Southeast,Large City,0.4524,30376,19299,26,1168,0.5493,0.1106,0.1961,0.0603,0.0021,0.0029,0.0322,0.0317,0.2283,19299,8322,8082,0.7713,0.4127,0.6321,0.8878,0.2112,16954,19735,12500,0.870000005,0.629999995,22.48999977,52366.99,36808.5,7.980000019,978,8367,40600,37900,1
California State University-Sacramento,Public,Far West,Large City,0.6968,25991,19380,20,945,0.3247,0.0591,0.2567,0.2086,0.0046,0.0093,0.0585,0.0149,0.191,19380,7281,8364,0.4894,0.505,0.4285,0.8251,0.2521,15000,17250,12000,0.75999999,0.730000019,23.13999939,43423.41,28449,10.14000034,772,5864,45200,42700,1
University of North Florida,Public,Southeast,Large City,0.5343,14006,19415,25,1143,0.6997,0.0985,0.0929,0.0432,0.0011,0.0009,0.0471,0.0131,0.2867,19415,5323,7279,0.7889,0.348,0.4995,0.8167,0.2453,14000,17479,9882,0.870000005,0.579999983,22.59000015,55334.71,41844.5,7.119999886,324,2877,41100,38400,1
University of Massachusetts-Boston,Public,New England,Large City,0.7141,11786,19763,0,1015,0.4157,0.1554,0.1198,0.1201,0.0014,0.0003,0.0249,0.0968,0.2668,19763,12405,10100,0.5202,0.3831,0.4358,0.7747,0.3335,16362,0,16357,0.889999986,0.600000024,24.06999969,47234.62,33287,9.010000229,323,2298,46000,42400,1
Portland State University,Public,Far West,Large City,0.6117,20085,19843,0,1045,0.6232,0.0343,0.1009,0.0769,0.0147,0.0075,0.0494,0.0499,0.2992,19843,8562,8286,0.5033,0.4019,0.417,0.7303,0.411,18832,24568.5,14166,0.930000007,0.639999986,24.51000023,44977.8,29525.5,7.110000134,784,4591,42600,38200,1
University of Arkansas at Little Rock,Public,Southeast,Mid-size City,0.5274,8504,19894,24,1077,0.5514,0.2656,0.0623,0.023,0.0033,0.0004,0.0642,0.0293,0.3813,19894,7292,7480,1,0.4027,0.2438,0.6973,0.4062,14250,23000,10500,0.920000017,0.74000001,25.13999939,37463.78,26332.5,10.96000004,432,2414,34600,31600,1
University of Alabama at Birmingham,Public,Southeast,Mid-size City,0.8673,11200,19990,25,1146,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.2579,19990,17208,10170,0.9106,0.3505,0.5377,0.8016,0.2422,16250,23117,11886,0.920000017,0.589999974,22.67000008,49894.65,34909,10.90999985,387,3121,42100,37200,1
Wayne State University,Public,Great Lakes,Large City,0.7624,17789,20199,23,1050,0.5317,0.2136,0.0417,0.0783,0.004,0.0013,0.0262,0.025,0.3182,20199,13146,9689,0.5301,0.4804,0.3235,0.7695,0.2745,16000,21500,13500,0.879999995,0.660000026,23.45000076,44037.59,30304.5,11.52999973,726,4260,45800,36700,1
San Diego State University,Public,Far West,Large City,0.3121,26625,20252,24,1090,0.3719,0.0384,0.2946,0.14,0.0027,0.0035,0.0599,0.0409,0.1046,20252,6797,9229,0.5404,0.3956,0.6616,0.8775,0.1651,14495,16460,11004.5,0.819999993,0.629999995,21.98999977,57515.91,37534,9.479999542,711,6425,47300,44000,1
University of Alabama in Huntsville,Public,Southeast,Mid-size City,0.8062,5525,20306,26,1180,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.2395,20306,9352,9341,0.6555,0.3281,0.4835,0.8098,0.264,16500,24738,10500,0.920000017,0.600000024,23.19000053,54155.4,39766,9.369999886,151,1224,45800,41500,1
University of Florida,Public,Southeast,Mid-size City,0.4655,32346,20456,29,1272,0.5843,0.074,0.1902,0.0754,0.0026,0.007,0.0282,0.0105,0.0709,20456,15167,10498,0.853,0.3207,0.8654,0.9646,0.0561,14546,15132.5,10250,0.850000024,0.600000024,20.48999977,64142.77,45776.5,8.729999542,627,6609,54600,46600,1
North Carolina State University at Raleigh,Public,Southeast,Large City,0.5001,22977,20511,28,1229,0.7512,0.0691,0.0427,0.0523,0.0045,0.0006,0.0314,0.0267,0.0717,20511,13831,9774,0.8813,0.2247,0.7359,0.9258,0.0974,17750,20500,12000,0.910000026,0.469999999,20.54000092,76057.18,66351,7.360000134,306,4025,49900,44100,1
Old Dominion University,Public,Southeast,Mid-size City,0.7679,19483,20531,21,1016,0.5207,0.2588,0.0662,0.0443,0.0043,0.0048,0.0551,0.0123,0.2275,20531,8097,8729,0.9663,0.3395,0.5117,0.7956,0.2658,18000,23867,14250,0.939999998,0.540000021,23.12000084,60966.47,48850,7.599999905,390,3899,42800,39200,1
California State University-East Bay,Public,Far West,Mid-size City,0.6872,12079,20676,19,910,0.1843,0.1083,0.2546,0.2439,0.0016,0.0111,0.0572,0.0659,0.1301,20676,6978,8804,0.4163,0.4426,0.3808,0.7753,0.3269,12500,16312,11349.5,0.720000029,0.689999998,24.81999969,36865.24,22898,8.390000343,329,2361,48400,45800,1
Florida State University,Public,Southeast,Mid-size City,0.5681,32086,20774,27,1212,0.667,0.085,0.1704,0.0251,0.0038,0.0018,0.0228,0.0104,0.1052,20774,8596,9706,0.8017,0.3065,0.7688,0.9171,0.0681,18750,21000,12999.5,0.899999976,0.540000021,20.76000023,68162.48,51372.5,8.899999619,654,6951,44700,40000,1
Indiana University-Purdue University-Indianapolis,Public,Great Lakes,Large City,0.6958,21569,20846,22,1013,0.7233,0.105,0.0532,0.0355,0.0015,0.0007,0.0329,0.0344,0.2296,20846,15311,7713,0.5751,0.3659,0.4161,0.7195,0.2933,16500,25388,12287,0.930000007,0.540000021,23.69000053,56695.09,43017,6.199999809,762,6317,43200,37400,1
University of Memphis,Public,Southeast,Large City,0.6841,16178,20899,22,1031,0.4988,0.3936,0.0343,0.0265,0.0025,0.0011,0.0302,0.0083,0.2409,20899,8742,8304,0.6415,0.471,0.432,0.7583,0.2741,18938,26393.5,13774.5,0.879999995,0.709999979,23.29999924,45004.14,29727,11.98999977,455,3442,38900,33700,1
California State University-Northridge,Public,Far West,Large City,0.4624,33581,20899,19,918,0.2575,0.0623,0.4029,0.1123,0.0017,0.0026,0.0335,0.0734,0.1618,20899,6952,8395,0.4602,0.4848,0.4575,0.782,0.1936,12500,15000,9000,0.680000007,0.769999981,22.63999939,39205.28,27373,12.93999958,968,7257,41900,38300,1
Texas Tech University,Public,Southwest,Mid-size City,0.663,26809,20900,25,1116,0.6329,0.0587,0.2063,0.0268,0.0034,0.001,0.0283,0.0367,0.0935,20900,6813,8757,0.8605,0.289,0.5904,0.8233,0.1001,17750,23246.5,10763,0.949999988,0.479999989,20.59000015,82825.99,69477,8.600000381,530,6207,49800,43900,1
University of Nebraska-Lincoln,Public,Great Plains,Large City,0.6404,19376,21024,25,1147,0.8002,0.024,0.0467,0.0224,0.0027,0.0006,0.0238,0.0599,0.0658,21024,10583,10085,0.9234,0.1979,0.6678,0.8364,0.0597,15799,22500,9002,0.949999988,0.449999988,20.28000069,81338.55,72140.5,5.940000057,320,4609,43000,39200,1
San Jose State University,Public,Far West,Large City,0.6347,25723,21160,22,1030,0.2254,0.0351,0.2383,0.3561,0.0014,0.0079,0.0522,0.0453,0.1925,21160,8070,9155,0.4021,0.3955,0.4809,0.8782,0.1993,14000,16251,11000,0.689999998,0.74000001,22.54999924,43366.3,27853.5,6.980000019,575,4353,52000,48100,1
University of Georgia,Public,Southeast,Mid-size City,0.5608,26120,21162,28,1247,0.7297,0.074,0.052,0.0895,0.0009,0.0011,0.0299,0.0122,0.0561,21162,8478,9015,0.8804,0.236,0.8314,0.9417,0.0374,16831,18700,14500,0.899999976,0.430000007,21.19000053,84425.2,69003,7.269999981,430,4620,48800,42500,1
